DATE,URL,R_avg,G_avg,B_avg,R_std,G_std,B_std,range,genre,historical,interior,landscape,mythological,other,portrait,religious,still-life,study
1304,https://www.wga.hu/art/g/giotto/padova/old/joachi5.jpg,143.2324300477009,130.7923268242311,131.20461577288526,65.97884877164263,54.548942813798455,44.67352073701721,253.903,0,0,0,0,0,0,0,1,0,0
1455,https://www.wga.hu/art/b/bonfigli/annuncia.jpg,118.99839512904398,84.50697746274082,71.42623409669211,61.10389299359671,59.29566288119558,54.94648449182079,254.772,0,0,0,0,0,0,0,1,0,0
1878,https://www.wga.hu/art/m/manet/4/4manet06.jpg,106.45919540600703,97.38131690163564,88.9219505113398,61.65897779073791,56.47973359538203,56.343493771784104,254.017,1,0,0,0,0,0,0,0,0,0
1440,https://www.wga.hu/art/m/master/tegernse/crucifix.jpg,115.62451431492842,76.1778936605317,46.736860940695294,76.6166098851666,57.5671380075944,37.2831715186606,248.92399999999998,0,0,0,0,0,0,0,1,0,0
1525,https://www.wga.hu/art/m/marconi/adultere.jpg,71.83107828655835,54.65436566551781,32.87777531593632,60.91114368284577,48.320358198936646,29.424743605714,250.326,0,0,0,0,0,0,0,1,0,0
1662,https://www.wga.hu/art/p/post/frans/olinda.jpg,80.82014710509755,61.93242448080554,82.3290827564506,58.34922929502893,48.90874342478933,70.32033294142259,236.95899999999997,0,0,0,1,0,0,0,0,0,0
1396,https://www.wga.hu/art/m/martinov/pulpit.jpg,101.89906666666667,87.67805443786982,73.57125364891519,55.88637920025847,56.108966659663075,56.40377994382155,254.99999999999997,0,0,0,0,0,0,0,1,0,0
1450,https://www.wga.hu/art/h/huguet/flagella.jpg,115.51713988919667,74.8827849228334,58.77941630391769,60.55218496738755,51.15815637832279,40.93134927555686,254.99999999999997,0,0,0,0,0,0,0,1,0,0
1895,https://www.wga.hu/art/l/leistiko/lakedusk.jpg,111.77714981358898,112.91054097238073,99.14050597276116,70.0428879114104,71.82816489783272,64.38016175233435,250.35199999999998,0,0,0,1,0,0,0,0,0,0
1620,https://www.wga.hu/art/b/bonzi/fruitveg.jpg,70.3049367551276,46.63448118832052,35.626869034279856,57.17807945801034,45.392719329824075,32.568838823271065,251.71999999999997,0,0,0,0,0,0,0,0,1,0
1741,https://www.wga.hu/art/d/devis/arthur/portlord.jpg,90.80476377537822,86.0381811039465,64.6003986790039,57.42156021492295,57.20737311211264,51.0898539775246,252.789,0,0,0,0,0,0,1,0,0,0
1616,https://www.wga.hu/art/b/bruegel/pieter_y/2/sevenact.jpg,93.67119810280904,78.47108418696965,60.27444839594896,44.28190584211734,39.4468420780582,39.828936611653795,239.206,0,0,0,0,0,0,0,1,0,0
1796,https://www.wga.hu/art/r/robert/2/louvre2d.jpg,101.32065207156309,77.60901600753296,62.56796374764595,59.74145826981296,52.88969545908659,46.464484691154226,254.42999999999998,0,0,0,0,0,0,0,0,0,1
1489,https://www.wga.hu/art/m/master/xunk_it/xunk_it3a/1view1.jpg,93.87156821963394,85.52998544093178,71.18182404326123,55.938491136564714,50.86353687795638,41.72862798899872,254.99999999999997,0,0,0,0,1,0,0,0,0,0
1524,https://www.wga.hu/art/d/dossi/dosso/apollo.jpg,66.68781313473256,54.91576243135485,43.226999924772436,55.0458450291289,47.84008820242664,39.232280841621794,253.957,0,0,0,0,1,0,0,0,0,0
1553,https://www.wga.hu/art/f/fortini/grotta1.jpg,119.84830906885047,108.46690324537458,93.86731195025781,38.33406251593683,36.12660353127786,35.053591775573665,223.773,0,0,0,0,0,1,0,0,0,0
1595,https://www.wga.hu/art/p/palma/giovane/1/4ducale4.jpg,101.10637376533535,73.70894413480049,67.34253498327215,65.09139611789183,61.41482527896986,54.41995772072008,253.59799999999996,0,0,0,0,0,0,0,1,0,0
1652,https://www.wga.hu/art/r/rembrand/24portra/086portr.jpg,60.19836706689537,40.907023441966835,36.7205991995426,41.40768650686001,28.79369896968428,18.993606469226833,238.31899999999996,0,0,0,0,0,0,1,0,0,0
1487,https://www.wga.hu/art/l/lippi/flippino/strozzi/0view2.jpg,141.68297896859696,121.01216133679056,100.32871564390666,53.311013790902976,51.51568982998359,48.883669990866636,254.701,0,0,1,0,0,0,0,0,0,0
